                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1281,                  2.076,                 1.3898,                 1.0879,                  5.654,                 1.3172,                0.70527,                0.76154,                0.78954,                0.59336,                0.94357,                 1.8179,                 1.1456,                0.95286,                 5.8549,                 1.1492,             0.00066504,             0.00066504,             0.00066504
                      2,                  1.223,                  1.652,                 1.4437,                 1.2737,                 3.2773,                 1.4299,                0.74908,                    0.7,                0.82205,                0.60628,                0.97323,                 1.3427,                 1.1884,                0.95018,                 2.9607,                 1.1942,              0.0012878,              0.0012878,              0.0012878
                      3,                  1.258,                 1.4271,                 1.4748,                 1.3056,                  2.174,                 1.4655,                0.79341,                0.63077,                0.75692,                0.55512,                0.93509,                 1.1127,                 1.1987,                0.98616,                 1.7799,                 1.2152,              0.0018665,              0.0018665,              0.0018665
                      4,                 1.2001,                 1.2943,                 1.4219,                 1.2899,                 1.7413,                 1.4346,                0.87262,                0.84315,                0.91631,                0.70113,                 0.8393,                 0.8157,                 1.1289,                0.87896,                 1.0094,                 1.1396,               0.001802,               0.001802,               0.001802
                      5,                 1.1325,                 1.1396,                 1.3665,                 1.2416,                 1.4899,                 1.3922,                0.88797,                0.85357,                0.93965,                0.68074,                0.91583,                 0.7055,                 1.1356,                0.99851,                0.80313,                  1.155,               0.001802,               0.001802,               0.001802
                      6,                 1.1005,                 1.0877,                 1.3615,                 1.2195,                 1.3901,                 1.3946,                0.83038,                0.82852,                 0.9132,                0.70999,                0.80992,                0.71201,                 1.1211,                0.87356,                0.83018,                  1.151,               0.001736,               0.001736,               0.001736
                      7,                 1.0533,                0.99381,                  1.327,                 1.1473,                 1.2525,                 1.3546,                 0.8453,                0.84615,                0.92362,                0.76588,                0.70576,                0.61203,                 1.0512,                 0.7005,                0.69249,                 1.0585,                0.00167,                0.00167,                0.00167
                      8,                 1.0114,                0.94766,                 1.3046,                 1.1182,                 1.1574,                 1.3372,                0.93417,                0.87326,                0.96284,                0.76795,                0.72873,                0.54461,                 1.0581,                 0.7662,                0.52059,                 1.0646,               0.001604,               0.001604,               0.001604
                      9,                  1.002,                0.91668,                 1.2843,                 1.1063,                 1.1159,                 1.3198,                0.92602,                0.88462,                0.95148,                0.76417,                0.68614,                0.53415,                 1.0559,                0.74622,                0.54251,                 1.0886,               0.001538,               0.001538,               0.001538
                     10,                  0.979,                0.88789,                 1.2712,                  1.095,                 1.0784,                 1.3164,                0.92103,                0.87692,                0.94163,                0.77297,                0.70519,                0.54924,                 1.0602,                0.73282,                0.56751,                 1.0607,               0.001472,               0.001472,               0.001472
                     11,                 0.9361,                0.85341,                 1.2457,                 1.0252,                 1.0282,                 1.2758,                0.92214,                 0.9111,                0.97165,                0.76952,                0.69633,                0.52918,                 1.0445,                0.79455,                0.49907,                 1.0582,               0.001406,               0.001406,               0.001406
                     12,                0.94406,                0.81396,                 1.2477,                 1.0433,                0.97113,                 1.2843,                 0.9004,                0.88462,                0.94502,                0.77848,                0.65341,                0.55105,                 1.0239,                0.72435,                0.56622,                  1.019,                0.00134,                0.00134,                0.00134
                     13,                0.92178,                0.80525,                 1.2358,                 1.0247,                0.96187,                 1.2682,                0.94312,                0.88462,                0.96452,                0.79404,                0.61702,                0.49279,                 1.0151,                0.70401,                0.46726,                 1.0309,               0.001274,               0.001274,               0.001274
                     14,                0.90732,                0.79129,                 1.2313,                 1.0151,                 0.9498,                 1.2801,                0.85921,                0.92308,                0.95905,                0.80714,                 0.6355,                 0.4394,                 1.0171,                0.66007,                0.48689,                 1.0154,               0.001208,               0.001208,               0.001208
                     15,                0.87225,                0.75607,                 1.2112,                0.97678,                0.88089,                 1.2495,                0.90426,                0.94451,                0.97986,                0.81315,                0.60392,                0.42279,                0.98335,                 0.6388,                0.38998,                0.98385,               0.001142,               0.001142,               0.001142
                     16,                0.86787,                0.72225,                 1.2004,                0.96688,                0.84937,                 1.2387,                0.92215,                0.93077,                0.96826,                0.80681,                0.59937,                  0.456,                0.98337,                 0.6365,                0.39924,                  1.003,               0.001076,               0.001076,               0.001076
                     17,                0.83424,                0.70386,                 1.1677,                0.93046,                0.83179,                 1.2064,                0.97737,                0.89231,                0.97059,                0.82952,                0.55754,                0.41337,                0.97046,                 0.6032,                0.41056,                0.97459,                0.00101,                0.00101,                0.00101
                     18,                0.83157,                0.71391,                 1.1818,                0.93003,                 0.8486,                 1.2149,                0.96228,                    0.9,                0.96196,                0.83332,                0.55876,                0.41703,                0.95468,                0.57272,                0.40647,                0.94754,               0.000944,               0.000944,               0.000944
                     19,                0.81925,                0.66687,                 1.1604,                0.90965,                0.79046,                  1.198,                0.95672,                0.94615,                0.98365,                0.83806,                0.56424,                0.38649,                0.95561,                 0.6021,                0.30822,                0.96304,               0.000878,               0.000878,               0.000878
                     20,                0.80335,                0.66464,                 1.1616,                0.89442,                0.77708,                 1.1899,                0.94224,                0.93077,                0.97411,                0.85555,                0.54615,                0.38936,                0.96062,                0.54782,                0.34444,                0.95363,               0.000812,               0.000812,               0.000812
                     21,                0.69199,                0.50217,                 1.0982,                0.75143,                0.53576,                 1.1278,                0.98342,                0.91253,                0.98452,                0.84367,                0.59101,                0.41033,                0.96985,                0.59228,                0.30108,                0.97259,               0.000746,               0.000746,               0.000746
